Perfil (D x e),Peso G (kg/m),D (mm),e (mm),d (mm),Área (cm²),Inercia (cm⁴),Wel (cm³),Wpl (cm³),i (cm),Clase,Compresión (kN),Cortante (kN),"N_b,Rd (kN)"
50x2,2.37,50,2.0,46,3.02,8.7,3.48,4.61,1.7,1,79.0,29.0,13.1
50x3,3.48,50,3.0,44,4.43,12.28,4.91,6.64,1.67,1,116.0,42.6,18.6
50x4,4.54,50,4.0,42,5.78,15.41,6.16,8.49,1.63,1,151.4,55.6,23.4
60x2,2.86,60,2.0,56,3.64,15.34,5.11,6.73,2.05,1,95.4,35.1,22.6
60x3,4.22,60,3.0,54,5.37,21.88,7.29,9.76,2.02,1,140.7,51.7,32.3
60x4,5.52,60,4.0,52,7.04,27.73,9.24,12.57,1.98,1,184.3,67.7,41.0
60x4.5,6.16,60,4.5,51,7.85,30.41,10.14,13.89,1.97,1,205.5,75.5,45.0
70x2,3.35,70,2.0,66,4.27,24.72,7.06,9.25,2.41,1,111.9,41.1,35.2
70x3,4.96,70,3.0,64,6.31,35.5,10.14,13.48,2.37,1,165.4,60.8,50.8
70x4,6.51,70,4.0,62,8.29,45.33,12.95,17.45,2.34,1,217.2,79.8,65.0
70x5,8.01,70,5.0,60,10.21,54.24,15.5,21.17,2.3,1,267.4,98.3,78.1
75x2,3.6,75,2.0,71,4.59,30.58,8.15,10.66,2.58,1,120.1,44.2,42.8
75x3,5.33,75,3.0,69,6.79,44.05,11.75,15.56,2.55,1,177.7,65.3,61.9
75x4,7.0,75,4.0,67,8.92,56.4,15.04,20.19,2.51,1,233.7,85.9,79.5
75x5,8.63,75,5.0,65,11.0,67.69,18.05,24.54,2.48,1,288.0,105.8,95.8
80x2,3.85,80,2.0,76,4.9,37.3,9.32,12.17,2.76,1,128.4,47.2,51.2
80x3,5.7,80,3.0,74,7.26,53.87,13.47,17.8,2.72,1,190.1,69.9,74.2
80x4,7.5,80,4.0,72,9.55,69.15,17.29,23.13,2.69,1,250.1,91.9,95.6
80x5,9.25,80,5.0,70,11.78,83.2,20.8,28.17,2.66,1,308.5,113.4,115.5
90x2,4.34,90,2.0,86,5.53,53.55,11.9,15.49,3.11,2,144.8,53.2,70.0
90x3,6.44,90,3.0,84,8.2,77.67,17.26,22.72,3.08,1,214.8,78.9,102.1
90x4,8.48,90,4.0,82,10.81,100.13,22.25,29.61,3.04,1,283.0,104.0,132.2
90x5,10.48,90,5.0,80,13.35,121.0,26.89,36.17,3.01,1,349.7,128.5,160.6
90x6,12.43,90,6.0,78,15.83,140.37,31.19,42.41,2.98,1,414.7,152.4,187.2
100x2,4.83,100,2.0,96,6.16,73.95,14.79,19.21,3.47,2,161.3,59.3,91.0
100x3,7.18,100,3.0,94,9.14,107.62,21.52,28.24,3.43,1,239.4,88.0,133.3
100x4,9.47,100,4.0,92,12.06,139.22,27.84,36.89,3.4,1,316.0,116.1,173.6
100x5,11.71,100,5.0,90,14.92,168.81,33.76,45.17,3.36,1,390.8,143.7,211.7
100x6,13.91,100,6.0,88,17.72,196.5,39.3,53.09,3.33,1,464.1,170.6,247.9
115x2,5.57,115,2.0,111,7.1,113.36,19.71,25.54,4.0,2,186.0,68.3,124.5
115x3,8.29,115,3.0,109,10.56,165.63,28.81,37.64,3.96,1,276.5,101.6,183.4
115x4,10.95,115,4.0,107,13.95,215.11,37.41,49.31,3.93,1,365.3,134.3,240.1
115x5,13.56,115,5.0,105,17.28,261.88,45.54,60.54,3.89,1,452.5,166.3,294.6
115x6,16.13,115,6.0,103,20.55,306.06,53.23,71.36,3.86,1,538.1,197.8,347.0
115x7,18.64,115,7.0,101,23.75,347.74,60.48,81.76,3.83,1,622.0,228.6,397.2
125x2,6.07,125,2.0,121,7.73,146.19,23.39,30.26,4.35,3,202.4,74.4,146.7
125x3,9.03,125,3.0,119,11.5,214.05,34.25,44.66,4.31,1,301.1,110.7,216.8
125x4,11.94,125,4.0,117,15.21,278.58,44.57,58.59,4.28,1,398.2,146.4,284.7
125x5,14.8,125,5.0,115,18.85,339.88,54.38,72.04,4.25,1,493.7,181.5,350.5
125x6,17.61,125,6.0,113,22.43,398.07,63.69,85.04,4.21,1,587.5,215.9,414.1
125x7,20.37,125,7.0,111,25.95,453.24,72.52,97.58,4.18,1,679.6,249.8,475.5
150x2,7.3,150,2.0,146,9.3,254.66,33.95,43.81,5.23,3,243.5,89.5,199.2
150x3,10.88,150,3.0,144,13.85,374.38,49.92,64.84,5.2,2,362.9,133.4,295.9
150x4,14.4,150,4.0,142,18.35,489.22,65.23,85.29,5.16,1,480.5,176.6,390.5
150x5,17.88,150,5.0,140,22.78,599.31,79.91,105.17,5.13,1,596.5,219.3,483.1
150x6,21.31,150,6.0,138,27.14,704.78,93.97,124.49,5.1,1,710.9,261.3,573.7
