Section,h [mm],b [mm],tw [mm],tf [mm],hi [mm],r1 [mm],d [mm],A [cm2],Iy [cm4],Iz [cm4],Wpl,y [cm3],Wpl,z [cm3],It [cm4],Iw [cm6],G [kg/m]
HEB 100,100.0,100.0,6.0,10.0,80.0,12.0,56.0,26.00,450.00,167.00,104.00,51.00,9.29,3375.00,20.4
HEB 120,120.0,120.0,6.5,11.0,98.0,12.0,74.0,34.00,864.00,318.00,165.00,81.00,13.90,9410.00,26.7
HEB 140,140.0,140.0,7.0,12.0,116.0,12.0,92.0,43.00,1510.00,550.00,246.00,120.00,20.10,22480.00,33.8
HEB 160,160.0,160.0,8.0,13.0,134.0,15.0,104.0,54.30,2490.00,889.00,354.00,170.00,31.40,47940.00,42.6
HEB 180,180.0,180.0,8.5,14.0,152.0,15.0,122.0,65.30,3830.00,1360.00,482.00,231.00,42.30,93750.00,51.3
HEB 200,200.0,200.0,9.0,15.0,170.0,18.0,134.0,78.10,5700.00,2000.00,642.00,306.00,59.50,171100.00,61.3
HEB 220,220.0,220.0,9.5,16.0,188.0,18.0,152.0,91.00,8090.00,2840.00,828.00,394.00,76.80,295400.00,71.4
HEB 240,240.0,240.0,10.0,17.0,206.0,21.0,164.0,106.00,11260.00,3920.00,1050.00,499.00,103.00,486900.00,83.2
HEB 260,260.0,260.0,10.0,17.5,225.0,24.0,176.0,118.00,14920.00,5130.00,1280.00,603.00,124.00,753700.00,92.6
HEB 280,280.0,280.0,10.5,18.0,244.0,24.0,196.0,131.00,19270.00,6590.00,1530.00,718.00,144.00,1130000.00,102.8
HEB 300,300.0,300.0,11.0,19.0,262.0,27.0,208.0,149.00,25170.00,8560.00,1870.00,871.00,186.00,1688000.00,117.0
HEB 320,320.0,300.0,11.5,20.5,279.0,27.0,224.0,161.00,30820.00,9240.00,2140.00,940.00,226.00,2069000.00,126.4
HEB 340,340.0,300.0,12.0,21.5,297.0,27.0,242.0,171.00,36660.00,9690.00,2400.00,986.00,258.00,2454000.00,134.2
HEB 360,360.0,300.0,12.5,22.5,315.0,27.0,260.0,181.00,43190.00,10140.00,2680.00,1030.00,293.00,2883000.00,142.1
HEB 400,400.0,300.0,13.5,24.0,352.0,27.0,298.0,198.00,57680.00,10820.00,3240.00,1100.00,357.00,3817000.00,155.4
HEB 450,450.0,300.0,14.0,26.0,398.0,27.0,344.0,218.00,79890.00,11720.00,3980.00,1200.00,442.00,5258000.00,171.1
HEB 500,500.0,300.0,14.5,28.0,444.0,27.0,390.0,239.00,107200.00,12620.00,4820.00,1290.00,540.00,7018000.00,187.6
HEB 550,550.0,300.0,15.0,29.0,492.0,27.0,438.0,254.00,136700.00,13080.00,5600.00,1340.00,602.00,8856000.00,199.4
HEB 600,600.0,300.0,15.5,30.0,540.0,27.0,486.0,270.00,171000.00,13530.00,6420.00,1390.00,669.00,10965000.00,211.9
HEB 650,650.0,300.0,16.0,31.0,588.0,27.0,534.0,286.00,210600.00,13980.00,7320.00,1440.00,741.00,13363000.00,224.5
HEB 700,700.0,300.0,17.0,32.0,636.0,27.0,582.0,306.00,256900.00,14440.00,8320.00,1490.00,833.00,16064000.00,240.2
HEB 800,800.0,300.0,17.5,33.0,734.0,30.0,674.0,334.00,359100.00,14900.00,10220.00,1550.00,949.00,21840000.00,262.2
HEB 900,900.0,300.0,18.5,35.0,830.0,30.0,770.0,371.00,494100.00,15820.00,12580.00,1660.00,1140.00,29461000.00,291.2
HEB 1000,1000.0,300.0,19.0,36.0,928.0,30.0,868.0,400.00,644700.00,16280.00,14860.00,1710.00,1260.00,37637000.00,314.0
