Profile,h_mm,b_mm,tw_mm,tf_mm,r_mm, Area_mm2 , Iy_mm4 , Iz_mm4 ,Buckling_Curve_Y,Buckling_Curve_Z
HEB 100,100,100,6,10,7," 2,480.00 "," 4,322,666.67 "," 1,668,106.67 ",b,c
HEB 120,120,120,6.5,11,7," 3,277.00 "," 8,377,892.33 "," 3,170,242.77 ",b,c
HEB 140,140,140,7,12,9," 4,172.00 "," 14,713,402.67 "," 5,491,315.67 ",b,c
HEB 160,160,160,8,13,9," 5,232.00 "," 24,136,016.00 "," 8,880,384.00 ",b,c
HEB 180,180,180,8.5,14,9," 6,332.00 "," 37,290,410.67 "," 13,615,778.92 ",b,c
HEB 200,200,200,9,15,12," 7,530.00 "," 55,134,750.00 "," 20,010,327.50 ",b,c
HEB 220,220,220,9.5,16,12," 8,826.00 "," 78,654,712.00 "," 28,408,098.88 ",b,c
HEB 240,240,240,10,17,15," 10,220.00 "," 108,928,526.67 "," 39,185,166.67 ",b,c
HEB 260,260,260,10,17.5,15," 11,350.00 "," 143,508,645.83 "," 51,282,083.33 ",b,c
HEB 280,280,280,10.5,18,15," 12,642.00 "," 185,965,976.00 "," 65,879,538.38 ",b,c
HEB 300,300,300,11,19,15," 14,282.00 "," 241,867,800.67 "," 85,529,060.17 ",b,c
HEB 320,320,300,11.5,20.5,18," 15,508.50 "," 297,071,762.38 "," 92,285,360.34 ",b,c
HEB 340,340,300,12,21.5,18," 16,464.00 "," 353,846,248.00 "," 96,792,768.00 ",b,c
HEB 360,360,300,12.5,22.5,18," 17,437.50 "," 417,561,328.12 "," 101,301,269.53 ",b,c
HEB 400,400,300,13.5,24,21," 19,152.00 "," 558,710,784.00 "," 108,072,171.00 ",a,b
HEB 450,450,300,14,26,21," 21,172.00 "," 775,557,457.33 "," 117,091,009.33 ",a,b
HEB 500,500,300,14.5,28,21," 23,238.00 "," 1,042,553,864.00 "," 126,112,799.12 ",a,b
HEB 550,550,300,15,29,24," 24,780.00 "," 1,330,857,160.00 "," 130,638,375.00 ",a,b
HEB 600,600,300,15.5,30,24," 26,370.00 "," 1,666,791,000.00 "," 135,167,574.38 ",a,b
HEB 650,650,300,16,31,24," 28,008.00 "," 2,054,251,496.00 "," 139,700,704.00 ",a,b
HEB 700,700,300,17,32,24," 30,012.00 "," 2,507,964,496.00 "," 144,260,389.00 ",a,b
HEB 800,800,300,17.5,33,24," 32,645.00 "," 3,490,520,801.67 "," 148,827,815.10 ",a,b
HEB 900,900,300,18.5,35,24," 36,355.00 "," 4,811,829,958.33 "," 157,937,937.40 ",a,b
HEB 1000,1000,300,19,36,24," 39,232.00 "," 6,285,897,557.33 "," 162,530,429.33 ",a,b
